2026-03-05 15:49:52,047 | INFO     | httpx | HTTP Request: POST https://video-mcpserver-test.skywork.ai/messages/?session_id=b956131dcbe64c9aac965d410f53d162 "HTTP/1.1 202 Accepted"
2026-03-05 15:50:18,423 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=3.84
2026-03-05 15:50:18,426 | INFO     | ai_chat.backend | HTTP GET /api/conversations/be7ef474-b908-4222-8ff3-680a9a6b3473 status=200 ip=127.0.0.1 duration_ms=3.94
2026-03-05 15:52:03,421 | INFO     | ai_chat.backend | HTTP GET /api/conversations/50e62126-108c-4457-a218-3d13f8dd3ea1 status=200 ip=127.0.0.1 duration_ms=6.48
2026-03-05 15:52:07,912 | INFO     | ai_chat.backend | HTTP GET /api/conversations/be7ef474-b908-4222-8ff3-680a9a6b3473 status=200 ip=127.0.0.1 duration_ms=1.85
2026-03-05 15:54:08,403 | INFO     | ai_chat.backend | HTTP GET /api/conversations/be7ef474-b908-4222-8ff3-680a9a6b3473 status=200 ip=127.0.0.1 duration_ms=8.17
2026-03-05 15:58:10,407 | INFO     | ai_chat.backend | HTTP GET /api/conversations/be7ef474-b908-4222-8ff3-680a9a6b3473 status=200 ip=127.0.0.1 duration_ms=13.67
2026-03-05 15:58:47,790 | INFO     | ai_chat.backend | HTTP GET /api/conversations/be7ef474-b908-4222-8ff3-680a9a6b3473 status=200 ip=127.0.0.1 duration_ms=13.99
2026-03-05 15:59:37,335 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=8.03
2026-03-05 15:59:37,339 | INFO     | ai_chat.backend | HTTP GET /api/conversations status=200 ip=127.0.0.1 duration_ms=2.00
2026-03-05 15:59:51,760 | INFO     | ai_chat.backend | HTTP OPTIONS /api/agent/chat status=200 ip=127.0.0.1 duration_ms=0.60
2026-03-05 15:59:51,768 | INFO     | ai_chat.backend | HTTP POST /api/agent/chat status=200 ip=127.0.0.1 duration_ms=6.19
2026-03-05 15:59:53,350 | INFO     | httpx | HTTP Request: GET https://video-mcpserver-test.skywork.ai/sse "HTTP/1.1 200 OK"
